T,rho_B,mu_B,P
131.03,0.0005,14.917909922737797,21.608553552125226
131.03,0.0001,3.03966093755016,21.608545050998245
131.03,5.0e-5,1.5207528854503587,21.60854477338482
131.03,1.0e-5,0.3042097714602688,21.608544684385606
131.03,5.0e-6,0.15210584685530842,21.6085446816031
131.03,1.0e-6,0.03042122859203728,21.608544680712686
131.03,5.0e-7,0.015210616764199972,21.60854468068487
131.03,1.0e-7,0.00304212322226346,21.60854468067596
131.03,5.0e-8,0.0015210615289746922,21.60854468067568
131.03,1.0e-8,0.00030421231074472096,21.608544680675585
130.93,3.0,300.4834562388206,21.02236186643315
130.93,2.99,300.2435538823715,21.02376095872167
130.93,2.98,300.006300054012,21.02518090355591
130.93,2.97,299.77176136631647,21.02662199969784
130.93,2.96,299.5400031265541,21.028084533659264
130.93,2.95,299.31108977271896,21.029568780519245
130.93,2.94,299.0850847098396,21.031075002894763
130.93,2.93,298.8620501430065,21.03260344991186
130.93,2.92,298.6420469079724,21.034154356183727
130.93,2.91,298.4251343001999,21.03572794080167
130.93,2.9,298.2113699033396,21.03732440634672
130.93,2.89,298.00080941818163,21.038943937928096
130.93,2.88,297.7935064931198,21.040586702256377
130.93,2.87,297.589512557247,21.042252846758235
130.93,2.86,297.38887665724053,21.043942498739693
130.93,2.85,297.1916452991562,21.045655764605705
130.93,2.84,296.997862296262,21.04739272914186
130.93,2.83,296.8075686240878,21.049153454865262
130.93,2.82,296.6208022837323,21.05093798145066
130.93,2.81,296.43759817449967,21.052746325236644
130.93,2.8,296.2579879768631,21.054578478817902
130.93,2.79,296.08200004663735,21.056434410726343
130.93,2.78,295.90965932122197,21.05831406520593
130.93,2.77,295.74098723858856,21.060217362082565
130.93,2.76,295.57600166968786,21.062144193152847
130.93,2.75,295.41471686470044,21.064094436425197
130.93,2.74,295.25714341353984,21.06606793525967
130.93,2.73,295.10328822083113,21.068064512469643
130.93,2.72,294.95315449545507,21.070083967267383
130.93,2.71,294.80674175461877,21.072126075714017
130.93,2.7,294.664045842301,21.07419059125884
130.93,2.69,294.52505896174773,21.076277245363492
130.93,2.68,294.3897697216139,21.07838574820605
130.93,2.67,294.25816319519964,21.08051578945938
130.93,2.66,294.1302209921514,21.082667039137572
130.93,2.65,294.0059213418649,21.084839148503654
130.93,2.64,293.8852391878047,21.087031751031848
130.93,2.63,293.768146291803,21.089244463416676
130.93,2.62,293.6546113474305,21.091476886621795
130.93,2.61,293.5446001014252,21.09372860696114
130.93,2.6,293.4380754821658,21.095999197204343
130.93,2.59,293.3349977341551,21.09828821769949
130.93,2.58,293.23532455748375,21.1005952175062
130.93,2.57,293.1390112512229,21.10291973553135
130.93,2.56,293.04601085977527,21.105261301661773
130.93,2.55,292.95627432117317,21.107619437886772
130.93,2.54,292.8697506164087,21.10999365940552
130.93,2.53,292.7863869189032,21.112383475713457
130.93,2.52,292.7061287432789,21.114788391662973
130.93,2.51,292.6289200926594,21.11720790849405
130.93,2.5,292.55470360377916,21.119641524831128
130.93,2.49,292.4834206892784,21.122088737642894
130.93,2.48,292.41501167656673,21.124549043161938
130.93,2.47,292.34941594278075,21.127021937762233
130.93,2.46,292.2865720453623,21.12950691879263
130.93,2.45,292.2264178478965,21.132003485364823
130.93,2.44,292.16889064088605,21.13451113909497
130.93,2.43,292.113927257202,21.137029384798463
130.93,2.42,292.061464182033,21.139557731137618
130.93,2.41,292.0114376571647,21.142095691222494
130.93,2.4,291.96378377952124,21.14464278316514
130.93,2.39,291.9184385939083,21.14719853058851
130.93,2.38,291.87533817996274,21.14976246309043
130.93,2.37,291.83441873333913,21.15233411666419
130.93,2.36,291.7956166411997,21.154913034076955
130.93,2.35,291.75886855211724,21.157498765207677
130.93,2.34,291.7241114405034,21.16009086734591
130.93,2.33,291.69128266571556,21.16268890545342
130.93,2.32,291.660320026005,21.16529245239021
130.93,2.31,291.6311618074846,21.1679010891071
130.93,2.3,291.6037468283189,21.170514404806312
130.93,2.29,291.57801447832287,21.173131997072122
130.93,2.28,291.55390475419097,21.175753471973707
130.93,2.27,291.53135829056134,21.178378444141305
130.93,2.26,291.51031638712817,21.181006536818533
130.93,2.25,291.49072103203514,21.18363738189135
130.93,2.24,291.4725149217316,21.186270619896856
130.93,2.23,291.4556414775459,21.188905900012085
130.93,2.22,291.4400448591322,21.191542880025647
130.93,2.21,291.42566997504196,21.194181226292997
130.93,2.2,291.41246249058327,21.19682061367696
130.93,2.19,291.4003688331772,21.19946072547511
130.93,2.18,291.38933619537744,21.20210125333519
130.93,2.17,291.37931253575465,21.204741897159554
130.93,2.16,291.37024657777977,21.207382365000395
130.93,2.15,291.36208780689435,21.210022372946344
130.93,2.14,291.3547864659136,21.212661645001578
130.93,2.13,291.3482935488891,21.215299912958727
130.93,2.12,291.34256079359625,21.217936916265973
130.93,2.11,291.3375406727459,21.22057240188955
130.93,2.1,291.33318638406047,21.223206124172293
130.93,2.09,291.3294518393184,21.225837844688904
130.93,2.08,291.32629165246937,21.22846733209875
130.93,2.07,291.3236611269341,21.231094361996472
130.93,2.06,291.32151624214964,21.233718716761363
130.93,2.05,291.3198136394837,21.236340185405677
130.93,2.04,291.31851060756117,21.238958563422596
130.93,2.03,291.31756506709473,21.241573652633928
130.93,2.02,291.31693555528227,21.244185261038435
130.93,2.01,291.31658120983224,21.246793202660474
130.93,2.0,291.3164617526583,21.249397297399867
130.93,1.99,291.3165374733261,21.251997370882684
130.93,1.98,291.3167692122644,21.25459325431398
130.93,1.97,291.31711834379513,21.257184784331592
130.93,1.96,291.3175467590475,21.25977180286226
130.93,1.95,291.318016848728,21.262354156979555
130.93,1.94,291.3184914858374,21.264931698764183
130.93,1.93,291.31893400834105,21.267504285166037
130.93,1.92,291.3193082017919,21.270071777869425
130.93,1.91,291.31957828197073,21.272634043160014
130.93,1.9,291.31970887753374,21.275190951794755
130.93,1.89,291.3196650126793,21.277742378874294
130.93,1.88,291.31941208988064,21.28028820371787
130.93,1.87,291.31891587264437,21.282828309741127
130.93,1.86,291.3181424683612,21.285362584336394
130.93,1.85,291.3170583112094,21.287890918755622
130.93,1.84,291.3156301451451,21.29041320799638
130.93,1.83,291.31382500696776,21.29292935069003
130.93,1.82,291.31161020947826,21.295439248992952
130.93,1.81,291.30895332471647,21.297942808480254
130.93,1.8,291.3058221672818,21.30043993804225
130.93,1.79,291.30218477774406,21.302930549783184
130.93,1.78,291.2980094061442,21.305414558923278
130.93,1.77,291.29326449554725,21.3078918837023
130.93,1.76,291.28791866570316,21.310362445286604
130.93,1.75,291.28194069675465,21.312826167677827
130.93,1.74,291.27529951301716,21.315282977624715
130.93,1.73,291.2679641668122,21.317732804536625
130.93,1.72,291.25990382235557,21.320175580399884
130.93,1.71,291.2510877396865,21.32261123969622
130.93,1.7,291.2414852586185,21.325039719323243
130.93,1.69,291.23106578273376,21.32746095851745
130.93,1.68,291.2197987633654,21.329874898779003
130.93,1.67,291.2076536836117,21.33228148379883
130.93,1.66,291.1946000423154,21.334680659387608
130.93,1.65,291.18060733803327,21.33707237340671
130.93,1.64,291.16564505299647,21.339456575701135
130.93,1.63,291.14968263696807,21.341833218034214
130.93,1.62,291.1326894911157,21.344202254024324
130.93,1.61,291.11463495175303,21.346563639082927
130.93,1.6,291.09548827403347,21.348917330354958
130.93,1.59,291.0752186155235,21.351263286660185
130.93,1.58,291.0537950196675,21.35360146843678
130.93,1.57,291.0311863991273,21.35593183768598
130.93,1.56,291.00736151895995,21.358254357918725
130.93,1.55,290.9822889796578,21.360568994103247
130.93,1.54,290.9559371999676,21.36287571261458
130.93,1.53,290.92827439956073,21.365174481185154
130.93,1.52,290.89926858143895,21.367465268856805
130.93,1.51,290.8688875141411,21.369748045934077
130.93,1.5,290.83709871367,21.372022783938856
130.93,1.49,290.80386942514025,21.374289455566085
130.93,1.48,290.76916660417345,21.376548034640717
130.93,1.47,290.7329568979033,21.378798496075902
130.93,1.46,290.6952066256953,21.381040815831994
130.93,1.45,290.6558817594735,21.38327497087704
130.93,1.44,290.61494790367203,21.385500939147825
130.93,1.43,290.5723702747601,21.387718699512334
130.93,1.42,290.52811368032314,21.389928231732814
130.93,1.41,290.482142497688,21.392129516429993
130.93,1.4,290.43442065204124,21.394322535048104
130.93,1.39,290.3849115940198,21.396507269820788
130.93,1.38,290.33357827674405,21.398683703737674
130.93,1.37,290.2803831322612,21.40085182051207
130.93,1.36,290.2252880473596,21.403011604549164
130.93,1.35,290.1682543387349,21.405163040914957
130.93,1.34,290.10924272743915,21.40730611530602
130.93,1.33,290.0482133126117,21.40944081401999
130.93,1.32,289.98512554442215,21.411567123926453
130.93,1.31,289.9199381962116,21.413685032438668
130.93,1.3,289.8526093357462,21.41579452748604
130.93,1.29,289.7830962955786,21.417895597486577
130.93,1.28,289.711355642452,21.419988231320747
130.93,1.27,289.63734314568694,21.42207241830507
130.93,1.26,289.5610137444971,21.424148148166726
