T,phi1,phi2,phi3,Phi1,Phi2,rhov
128.0,-1.8402578755862156,-1.8402578755862156,-2.225841289160255,0.017909192245554355,0.017909192245554355,7.057125311477472e-23
127.0,-1.840502196987678,-1.840502196987678,-2.2259355465490875,0.017038261759057254,0.017038261759057254,-3.526605733599011e-23
126.0,-1.840728018051807,-1.8407280180518082,-2.2260221528987536,0.016205763251287968,0.016205763251287968,-8.805636893220257e-24
125.0,-1.8409366534458074,-1.8409366534458071,-2.226101688761427,0.01540990028593992,0.01540990028593992,-8.005150111526677e-24
124.0,-1.8411293238491886,-1.8411293238491897,-2.226174691281149,0.014648988704905972,0.014648988704905972,-8.742405993403672e-24
123.0,-1.8413071635521312,-1.8413071635521312,-2.2262416577267445,0.013921447007091418,0.013921447007091418,1.7041860740862272e-23
122.0,-1.8414712272976217,-1.8414712272976217,-2.2263030486797253,0.013225787733116374,0.013225787733116374,-3.6198149257996555e-23
121.0,-1.8416224964583623,-1.8416224964583625,-2.2263592909180243,0.012560609733138097,0.012560609733138097,3.498520715894886e-24
120.0,-1.841761884626823,-1.8417618846268242,-2.226410780030916,0.011924591212160406,0.011924591212160406,1.673103313087487e-23
119.0,-1.8418902426862516,-1.8418902426862516,-2.226457882795567,0.011316483461659681,0.011316483461659681,3.498261208838479e-24
118.0,-1.8420083634213424,-1.8420083634213422,-2.226500939341775,0.010735105198602676,0.010735105198602676,3.498261208838479e-24
117.0,-1.842116985719672,-1.8421169857196722,-2.2265402651279005,0.010179337443333535,0.010179337443333535,1.652638131944639e-23
116.0,-1.8422167984084243,-1.8422167984084243,-2.2265761527481622,0.009648118876674515,0.009648118876674515,9.909681086713302e-24
115.0,-1.8423084437652995,-1.8423084437652992,-2.22660887358885,0.009140441624166237,0.009140441624166237,-1.0113363010581086e-23
114.0,-1.8423925207377463,-1.8423925207377463,-2.2266386793489548,0.008655347421871564,0.008655347421871564,9.658054278515056e-24
113.0,-1.8424695879004507,-1.8424695879004513,-2.226665803438797,0.008191924123758708,0.008191924123758708,2.896084180689271e-24
112.0,-1.842540166177461,-1.8425401661774592,-2.2266904622685617,0.007749302515498295,0.007749302515498295,-3.7872960852545776e-24
111.0,-1.8426047413522066,-1.8426047413522055,-2.2267128564374223,0.007326653403676673,0.007326653403676673,-3.7872960852545776e-24
110.0,-1.8426637663860084,-1.8426637663860077,-2.2267331718325236,0.006923184953040366,0.006923184953040366,2.774267801046752e-24
109.0,-1.842717663563284,-1.8427176635632827,-2.226751580646199,0.006538140247525363,0.006538140247525363,-3.842861194155818e-24
108.0,-1.8427668264796562,-1.8427668264796548,-2.2267682423187827,0.006170795053559288,0.006170795053559288,-3.842861194155818e-24
107.0,-1.8428116218873132,-1.8428116218873132,-2.226783304413598,0.005820455766511908,0.005820455766511908,2.73214545996189e-24
106.0,-1.8428523914105073,-1.842852391410507,-2.2267969034299884,0.0054864575232573065,0.0054864575232573065,-2.1923439650232422e-24
105.0,-1.8428894531425624,-1.84288945314256,-2.226809165559685,0.0051681624656433976,0.0051681624656433976,-3.811685005754899e-24
104.0,-1.8429231031346769,-1.842923103134676,-2.2268202073911447,0.004864958141273182,0.004864958141273182,-5.189408069329559e-25
103.0,-1.8429536167856595,-1.8429536167856593,-2.2268301365661514,0.004576256029419221,0.004576256029419221,-5.189408069329559e-25
102.0,-1.8429812501408052,-1.8429812501408056,-2.22683905239242,0.004301490181142611,0.004301490181142611,-2.1732705698611717e-24
101.0,-1.843006241107295,-1.8430062411072938,-2.226847046415671,0.004040115963792529,0.004040115963792529,3.082301446979837e-25
100.0,-1.8430288105927528,-1.843028810592753,-2.226854202954203,0.003791608901040112,0.003791608901040112,-5.189385440214611e-25
99.0,-1.8430491635729467,-1.8430491635729445,-2.2268605995988198,0.0035554636004681323,0.0035554636004681323,3.082317151350899e-25
98.0,-1.8430674900939834,-1.8430674900939823,-2.226866307680548,0.0033311927615084012,0.0033311927615084012,1.1397799110937087e-24
97.0,-1.843083966213909,-1.8430839662139087,-2.2268713927085426,0.0031183262572044156,0.0031183262572044156,3.1655145427141996e-25
96.0,-1.8430987548880933,-1.8430987548880935,-2.2268759147801287,0.002916410283887956,0.002916410283887956,-5.070726468395406e-25
95.0,-1.8431120068023599,-1.84311200680236,-2.226879928964992,0.0027250065734036348,0.0027250065734036348,3.2010219453767583e-25
94.0,-1.8431238611575176,-1.8431238611575185,-2.22688348566516,0.002543691663002778,0.002543691663002778,3.172400754449715e-25
93.0,-1.8431344464085198,-1.84313444640852,-2.226886630952411,0.0023720562184641756,0.0023720562184641756,-9.506617640998153e-26
92.0,-1.8431438809612892,-1.8431438809612897,-2.226889406884475,0.002209704406390128,0.002209704406390128,-5.086546631047674e-25
91.0,-1.8431522738298514,-1.8431522738298523,-2.226891851801449,0.002056253311976832,0.002056253311976832,-9.404245575384499e-26
90.0,-1.843159725256322,-1.8431597252563234,-2.226894000603534,0.0019113323988728444,0.0019113323988728444,-9.58665194929579e-26
89.0,-1.8431663272959344,-1.8431663272959362,-2.2268958850113294,0.001774583008022695,0.001774583008022695,-9.58665194929579e-26
88.0,-1.8431721643692216,-1.8431721643692214,-2.2268975338095895,0.0016456578926471084,0.0016456578926471084,-9.550644642141826e-26
87.0,-1.843177313783218,-1.8431773137832193,-2.226898973075532,0.0015242207867407003,0.0015242207867407003,7.890929681251162e-27
86.0,-1.8431818462234137,-1.8431818462234144,-2.2269002263924595,0.0014099460046748176,0.0014099460046748176,7.890929681251162e-27
85.0,-1.843185826218082,-1.843185826218082,-2.2269013150496217,0.001302518069679026,0.001302518069679026,5.934085682399047e-26
84.0,-1.8431893125763923,-1.8431893125763923,-2.2269022582290163,0.0012016313691432811,0.0012016313691432811,7.423152662937971e-27
