T,mu_B,S,chi_TT,rho,chi_mumu,chi_Tmu,P,Cv,Cp,cs,Xi2,eta_s,zeta_s
123.15000000000002,873.4283499999999,0.6879780593874893,13.342859021592105,0.08227339248096988,0.22088521726228083,1.5337918944607019,21.64833976860008,1.680309148926909,1.957588041142009,0.044991333152783274,1.374355119108873,2.6377671991378904,0.39172052410410385
123.16,873.4283499999999,0.6886546753090652,13.360470712473727,0.0823511728417543,0.22118382956918303,1.5358885749141589,21.64837465008253,1.682250474090642,1.9600103825639827,0.044973853453722075,1.3749094825841692,2.633992365794176,0.39184488876963414
123.17,873.4283499999999,0.6893321846086748,13.378117097718714,0.08242905956927077,0.22148310968026452,1.5379897663075628,21.648409565876143,1.6841947404728017,1.9624369342889116,0.04495635563595733,1.3754648737111153,2.630220236089713,0.391969505341021
123.18000000000002,873.4283499999999,0.6900105890471964,13.39579827983944,0.08250705289249444,0.22178305985512048,1.540095483210644,21.64844451602626,1.6861419544751346,1.964867707586043,0.04493883966938691,1.3760212954055302,2.626450808744546,0.39209437463013364
123.19,873.4283499999999,0.6906898903905359,13.41351436177358,0.0825851530411118,0.22208368236374443,1.542205740257753,21.64847950057828,1.6880921225195444,1.9673027137697001,0.044921305523814965,1.3765787505955807,2.622684082478139,0.3922194974527038
123.20000000000002,873.4283499999999,0.6913700904099298,13.431265446887522,0.08266336024559551,0.22238497948663882,1.5443205521488341,21.648514519577688,1.690045251045123,1.969741964194531,0.0449037531689589,1.3771372422218542,2.6189200560061603,0.3923448746281833
123.21,873.4283499999999,0.6920511908818932,13.449051638976826,0.08274167473713023,0.2226869535148226,1.5464399336488999,21.648549573070095,1.692001346513209,1.9721854702643402,0.04488618257446171,1.377696773237419,2.615158728044149,0.3924705069802215
123.22,873.4283499999999,0.6927331935881282,13.466873042268844,0.08282009674766944,0.2229896067499808,1.5485638995891247,21.648584661101157,1.6939604154040602,1.9746332434261489,0.04486859370987191,1.3782573466079031,2.611400097305533,0.39259639533632085
123.23000000000002,873.4283499999999,0.6934161003156598,13.484729761426294,0.08289862650991064,0.22329294150444934,1.5506924648668807,21.64861978371664,1.6959224642183082,1.9770852951730191,0.04485098654465445,1.378818965311556,2.6076441625022024,0.3927225405280059
123.24,873.4283499999999,0.6940999128568639,13.502621901550413,0.08297726425731461,0.22359696010127927,1.55282564444639,21.648654940962427,1.6978874994752156,1.9795416370414236,0.044833361048185555,1.3793816323393224,2.603890922343619,0.392848943390715
123.25000000000001,873.4283499999999,0.6947846330093657,13.520549568179632,0.08305601022409781,0.22390166487435437,1.5549634533586776,21.648690132884443,1.6998555277157914,1.9820022806158413,0.044815717189755376,1.3799453506949182,2.6001403755382597,0.3929756047640147
123.25999999999999,873.4283499999999,0.6954702625762907,13.538512867295879,0.0831348646452364,0.22420705816841413,1.5571059067020823,21.64872535952874,1.7018265555029988,1.9844672375294383,0.04479805493857564,1.3805101233948907,2.5963925207929215,0.3931025254916443
123.27000000000001,873.4283499999999,0.6961568033660099,13.556511905324797,0.0832138277564815,0.224513142339136,1.5592530196433643,21.648760620941456,1.7038005894147576,1.986936519454398,0.044780374263756056,1.381075953468703,2.592647356812211,0.39322970642122657
123.28000000000002,873.4283499999999,0.6968442571923803,13.574546789140086,0.08329289979435572,0.22481991975318727,1.561404807416693,21.648795917168787,1.7057776360570023,1.9894101381187759,0.04476267513432797,1.3816428439587964,2.5889048822989995,0.3933571484046065
123.28999999999999,873.4283499999999,0.6975326258746497,13.592617626063088,0.08337208099614274,0.2251273927882973,1.563561285325635,21.648831248257096,1.7077577020483528,1.9918881052885922,0.04474495751923124,1.3822107979206675,2.5851650959549657,0.3934848522977821
123.30000000000001,873.4283499999999,0.6982219112375172,13.610724523868427,0.08345137159991628,0.22543556383331298,1.5657224687420115,21.64886661425273,1.709740794035229,1.9943704327848735,0.04472722138731747,1.3827798184229445,2.581427996479373,0.3936128189608629
