rho_B,mu_B,eB
3.71,1214.5031918568418,0.05
3.72,1215.6244100737335,0.05
3.73,1216.744203471862,0.05
3.74,1217.8625798386404,0.05
3.75,1218.9795515813405,0.05
3.76,1220.0951354738293,0.05
3.77,1221.2093523839524,0.05
3.78,1222.322226983614,0.05
3.79,1223.433787443556,0.05
3.8,1224.5440651147692,0.05
3.81,1225.653094198408,0.05
3.82,1226.7609114059708,0.05
3.83,1227.8675556114392,0.05
3.84,1228.9730674969614,0.05
3.85,1230.0774891935691,0.05
3.86,1231.1808639183423,0.05
3.87,1232.2832356093318,0.05
3.88,1233.3846485594852,0.05
3.89,1234.4851470507513,0.05
3.9,1235.5847749894658,0.05
3.91,1236.6835755440952,0.05
3.92,1237.7815907863585,0.05
3.93,1238.8788613367308,0.05
3.94,1239.975426015321,0.05
3.95,1241.0713214991035,0.05
3.96,1242.1665819865018,0.05
3.97,1243.2612388703337,0.05
3.98,1244.3553204201544,0.05
3.99,1245.4488514750649,0.05
4.0,1246.5418531481062,0.05
4.01,1247.6343425433731,0.05
4.02,1248.7263324870646,0.05
4.03,1249.817831273704,0.05
4.04,1250.9088424288177,0.05
4.05,1251.9993644894075,0.05
4.06,1253.0893908035723,0.05
4.07,1254.178909350667,0.05
4.08,1255.2679025834075,0.05
4.09,1256.356347293315,0.05
4.1,1257.4442145008934,0.05
4.11,1258.5314693718929,0.05
4.12,1259.6180711609588,0.05
4.13,1260.7039731839,0.05
4.14,1261.7891228196945,0.05
4.15,1262.8734615432547,0.05
4.16,1263.9569249897943,0.05
4.17,1265.0394430514943,0.05
4.18,1266.1209400069527,0.05
4.19,1267.2013346836743,0.05
4.2,1268.2805406536265,0.05
4.21,1269.3584664616035,0.05
4.22,1270.4350158858622,0.05
4.23,1271.5100882301924,0.05
4.24,1272.58357864627,0.05
4.25,1273.655378484822,0.05
4.26,1274.7253756738141,0.05
4.27,1275.7934551215596,0.05
4.28,1276.859499142336,0.05
4.29,1277.923387901817,0.05
4.3,1278.984999879355,0.05
4.31,1280.044212343916,0.05
4.32,1281.1009018402663,0.05
4.33,1282.154944681849,0.05
4.34,1283.206217446667,0.05
4.35,1284.2545974724228,0.05
4.36,1285.2999633471366,0.05
4.37,1286.34219539151,0.05
4.38,1287.3811761293684,0.05
4.39,1288.4167907426645,0.05
4.4,1289.4489275076987,0.05
4.41,1290.4774782094487,0.05
4.42,1291.5023385311692,0.05
4.43,1292.5234084167262,0.05
4.44,1293.5405924034692,0.05
4.45,1294.5537999238147,0.05
4.46,1295.562945574067,0.05
4.47,1296.567949349416,0.05
4.48,1297.5687368444187,0.05
4.49,1298.5652394186507,0.05
4.5,1299.5573943276072,0.05
4.51,1300.5451448192514,0.05
4.52,1301.5284401969575,0.05
4.53,1302.5072358498921,0.05
4.54,1303.4814932521372,0.05
4.55,1304.451179932106,0.05
4.56,1305.4162694139868,0.05
4.57,1306.3767411331257,0.05
4.58,1307.3325803273797,0.05
4.59,1308.283777906556,0.05
4.6,1309.2303303021274,0.05
4.61,1310.1722392994143,0.05
4.62,1311.1095118544433,0.05
4.63,1312.042159897643,0.05
4.64,1312.9702001264934,0.05
4.65,1313.8936537891616,0.05
4.66,1314.8125464610778,0.05
4.67,1315.726907816284,0.05
4.68,1316.6367713952789,0.05
4.69,1317.5421743709617,0.05
4.7,1318.4431573141462,0.05
4.71,1319.339763959967,0.05
4.72,1320.2320409764066,0.05
4.73,1321.120037735994,0.05
4.74,1322.0038060916356,0.05
4.75,1322.8834001573896,0.05
4.76,1323.7588760949009,0.05
4.77,1324.6302919060704,0.05
4.78,1325.4977072324655,0.05
4.79,1326.3611831618489,0.05
4.8,1327.2207820421365,0.05
4.81,1328.0765673029994,0.05
4.82,1328.9286032852547,0.05
4.83,1329.7769550781347,0.05
4.84,1330.6216883644483,0.05
4.85,1331.462869273607,0.05
4.86,1332.3005642424444,0.05
4.87,1333.1348398837129,0.05
4.88,1333.965762862117,0.05
4.89,1334.7933997777034,0.05
4.9,1335.6178170564222,0.05
4.91,1336.4390808476385,0.05
4.92,1337.2572569283748,0.05
4.93,1338.0724106140442,0.05
4.94,1338.884606675429,0.05
4.95,1339.693909261662,0.05
4.96,1340.5003818289583,0.05
4.97,1341.304087074845,0.05
4.98,1342.105086877648,0.05
4.99,1342.9034422409838,0.05
5.0,1343.699213243023,0.05
